trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,11,16.646042550978613,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11648415777349697}",25,4,18.434224757734867,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.11080315836233387}",25,6,26.297361311436497,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.10539922456186433}",25,17,12.159247051303664,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.10025884372280375}",25,0,27.608587107337613,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.09536916221554961}",20,12,14.531162457645191,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.09071795328941251}",20,2,18.518513546498244,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.0862935864993705}",20,16,9.254659186354562,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,16,9.17261332065227,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07808166600115317}",20,1,12.396199992435887,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.07427357821433388}",25,2,33.031116876263944,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.0706512130604296}",35,13,-6.879695886983175,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.06720551273974976}",20,12,12.217488647368679,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.06392786120670757}",20,10,19.028754913853852,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.06081006262521797}",20,0,18.06405517621118,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.057844320874838456}",20,8,13.518243774572161,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.05502322005640723}",25,13,-56.72960978311773,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.05233970594843238}",25,19,9.962050614405571,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,8,25.813236741696016,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.04735892439114093}",20,13,11.840198123212407,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.0450492023935578}",20,7,1.1767157143886284,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.04285212686704019}",25,10,30.01908901890972,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.04076220397836621}",25,3,30.09169232027295,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.03877420783172201}",25,0,24.812952477556074,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.036883167401240015}",30,16,0.7615435797465937,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.035084354100845025}",25,18,12.14816471638452,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.03337326996032608}",20,12,15.425380607441125,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.03174563637806794}",25,14,16.63134030694701,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.0301973834223185}",30,10,28.811418750936976,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.028724639654239433}",30,13,27.424807385570507,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.02732372244729256}",20,3,22.762920084601923,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.025991128778755347}",30,0,-13.359081630716972,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.024723526470339388}",25,5,37.37310604807931,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
